Nombre del Centro;Num de Registro;Dirección;Código postal;Localidad;Provincia;Teléfono;Fax;Tipo de Centro;Finalidad Asistencial;Titularidad;Dependencia Funcional
ATHLAS CLINIC FISIOTERAPIA;47-C22-0265;CL. HIERBABUENA  9  ;47,009;VALLADOLID;VALLADOLID;646,026,861;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;UTIEL FUENTES , CHRISTIAN;PRIVADOS
AUTO TRANSPORTES SANITARIOS;24-C290-0023;CL. MAESTRO URIARTE 3  ;24,008;LEON;LEON;987,232,323;987,876,230;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;TRANSPORTE SANITARIO ;AUTO TRANSPORTES SANITARIOS, S.L.;PRIVADOS
CENTRO COORDINADOR DE AMBULANCIAS DE AUTRANSA;24-C290-0028;CL. FERNANDO III EL SANTO 20  ;24,007;LEON;LEON;987,232,323;987,876,230;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;TRANSPORTE SANITARIO ;AUTO TRANSPORTES SANITARIOS, S.L.;PRIVADOS
CENTRO DE FISIOTERAPIA AQUILES;09-C22-0194;PZ. ROMA 10  ;9,007;BURGOS;BURGOS;947,215,369;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;SEDANO BAYONA , GUILLERMO;PRIVADOS
CENTRO DE FISIOTERAPIA AZUCENA MEDINA;40-C22-0134;PZ. TIRSO DE MOLINA 6-L. 12  ;40,006;SEGOVIA;SEGOVIA;647,608,997;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;MEDINA DUQUE , AZUCENA;PRIVADOS
CENTRO DE FISIOTERAPIA CENFISOL;47-C22-0082;CL. MATEO DE SEOANE SOBRAL 36  ;47,014;VALLADOLID;VALLADOLID;983,375,566;983,188,899;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;CENFISOL, S.L.;PRIVADOS
CENTRO DE FISIOTERAPIA DUCAL;09-C22-0076;CL. SANTO DOMINGO 37  A;9,340;LERMA;BURGOS;947,172,214;947,172,214;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;HONTORIA BENITO , JUDITH;PRIVADOS
CENTRO DE FISIOTERAPIA EN MOVIMIENTO;34-C22-0066;PS. DE LOS FRAILES 7  ;34,003;PALENCIA;PALENCIA;644,012,634;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;PRIMO CALDERON , MARIA JOSE;PRIVADOS
CENTRO DE FISIOTERAPIA ENOCH;24-C22-0183;CL. CANTAREROS 12  ;24,003;LEON;LEON;615,648,879;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;ALONSO FERNANDEZ , ENOCH;PRIVADOS
CENTRO DE FISIOTERAPIA FIERRO;24-C22-0070;CL. SIRA SAN PEDRO 17  ;24,010;TROBAJO DEL CAMINO;LEON;987,804,020;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;FIERRO GONZALEZ , ALVARO;PRIVADOS
CENTRO DE FISIOTERAPIA FISIO-CENTER;49-C22-0041;CL. DE LOS HERREROS 67  C;49,600;BENAVENTE;ZAMORA;980,634,074;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;FERRERO VILLAREJO , LAURA;PRIVADOS
CENTRO DE FISIOTERAPIA FISIOLIFE;37-C22-0255;CL. PIZARRO 34  ;37,005;SALAMANCA;SALAMANCA;923,205,414;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;CENTRO FISIOLIFE, S.L.;PRIVADOS
CENTRO DE FISIOTERAPIA FISIOLMEDO;47-C22-0068;CL. ARRABAL 9  ;47,410;OLMEDO;VALLADOLID;655,463,524;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;LAGUNAR SANCHO , VIRGINIA;PRIVADOS
CENTRO DE FISIOTERAPIA FISIOVITAL;24-C22-0092;AV. GALICIA 116  ;24,404;PONFERRADA;LEON;987,403,773;987,429,251;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;AYD FISIOTERAPIA, S.L.;PRIVADOS
CENTRO DE FISIOTERAPIA FISIOVITAL;37-C22-0223;CR. DE MADRID, S/N (C.C. LA FONTANA-LOCAL 6)   ;37,900;SANTA MARTA DE TORMES;SALAMANCA;685,616,642;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;SALDIVIA YAGODE , CAROLINA ANDREA ;PRIVADOS
CENTRO DE FISIOTERAPIA ISABEL DELGADO;37-C22-0406;CL. SALESAS, 14  ;37,005;SALAMANCA;SALAMANCA;691,813,836;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;DELGADO VICENTE , MARIA ISABEL;PRIVADOS
CENTRO DE FISIOTERAPIA JEMAJE;47-C22-0067;CL. POZO DE LAS NIEVES 7  ;47,420;ISCAR;VALLADOLID;983,612,181;983,611,074;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;JEMAJE, S.L.;PRIVADOS
CENTRO DE FISIOTERAPIA KINEIRA;05-C22-0118;CL. SORIA 12-14  ;5,003;AVILA;AVILA;0;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;JIMENEZ RESINA , JUDIT;PRIVADOS
CENTRO DE FISIOTERAPIA LA TORRE;24-C22-0033;CL. LA TORRE 10  B;24,002;LEON;LEON;987,178,488;987,357,052;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;GONZALEZ MONTIEL , CARMEN M;PRIVADOS
CENTRO DE FISIOTERAPIA MEDEOR;24-C22-0102;AV. PADRE ISLA 47  A;24,002;LEON;LEON;987,271,521;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;MARTINEZ POITEAU , JOAQUIN MIGUEL;PRIVADOS
CENTRO DE FISIOTERAPIA M&H;24-C22-0323;CL. VIA NUEVA 8  ;24,402;PONFERRADA;LEON;645,455,744;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;MELENDEZ HOLGADO , VERONICA;PRIVADOS
CENTRO DE FISIOTERAPIA NEREA CRUZ;09-C2590-0001;CL. FRANCISCO CANTERA 25  ;9,200;MIRANDA DE EBRO;BURGOS;947,310,071;947,310,071;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;CRUZ ACILLONA , NEREA;PRIVADOS
CENTRO DE FISIOTERAPIA ORTOPLAN;49-C22-0004;CL. SANTA TERESA 4  ;49,013;ZAMORA;ZAMORA;980,670,784;980,670,210;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;ORTOPEDIA ORTOPLAN, S.L.;PRIVADOS
CENTRO DE FISIOTERAPIA RAQUEL GARCIA;34-C22-0127;CL. ALFONSO X EL SABIO 3 BAJO  ;34,001;PALENCIA;PALENCIA;979,746,417;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;GARCIA GARCIA , RAQUEL CATALINA;PRIVADOS
CENTRO DE FISIOTERAPIA RIEGO 22;49-C22-0032;CL. EL RIEGO 22  ;49,017;ZAMORA;ZAMORA;652,374,866;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;DIAZ BLANCO , GLORIA;PRIVADOS
CENTRO DE FISIOTERAPIA VIRGEN DE LA ENCINA;24-C22-0055;CL. AVE MARIA 31  ;24,400;PONFERRADA;LEON;987,410,468;987,410,468;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;MARQUES LOPEZ , JEZABEL;PRIVADOS
CENTRO DE FISIOTERAPIA Y SALUD INTEGRAL EQILIBRIO;09-C22-0121;CL. GUARDIA CIVIL 5  ;9,004;BURGOS;BURGOS;695,092,152;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;EQILIBRIO CB;PRIVADOS
CENTRO DE MEDICINA INTEGRAL STILL;24-C24-0036;AV. FACULTAD DE VETERINARIA 59  ;24,004;LEON;LEON;987,007,766;987,007,766;CENTROS POLIVALENTES;FISIOTERAPIA#OTRAS UNIDADES ASISTENCIALES;CENTRO DE MEDICINA INTEGRAL STILL S.L.U;PRIVADOS
CENTRO DE NUTRICION ELISABET VALDIVIELSO;09-C22-0216;CL. ARZOBISPO PEREZ PLATERO CENTRO MEDICO SANTIAGO 17  ;9,007;BURGOS;BURGOS;947,236,155;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES;VALDIVIELSO ASENSIO , ELISABET;PRIVADOS
CENTRO DE RECONOCIMIENTO DE CONDUCTORES ISILLA;09-C2510-0001;CL. ISILLA  3  ;9,400;ARANDA DE DUERO;BURGOS;947,510,626;947,510,626;ESPECIALIZADOS: CENTROS DE RECONOCIMIENTO;OTRAS UNIDADES ASISTENCIALES (CENTRO DE RECONOCIMIENTO) ;REGUERO DE RUEDA , GENOVEVA;PRIVADOS
CENTRO DE RECONOCIMIENTO DE CONDUCTORES REMPSA;09-C2510-0003;AV. DEL CID 4  ;9,005;BURGOS;BURGOS;947,207,303;0;ESPECIALIZADOS: CENTROS DE RECONOCIMIENTO;OTRAS UNIDADES ASISTENCIALES;CENTRO DE RECONOCIMIENTOS BURGOS XXI, S.L.;PRIVADOS
CENTRO DE RECONOCIMIENTO DE CONDUCTORES TOR-VIAL;47-C2510-0018;AV. ZAMORA 8  ;47,100;TORDESILLAS;VALLADOLID;691,240,008;0;ESPECIALIZADOS: CENTROS DE RECONOCIMIENTO;OTRAS UNIDADES ASISTENCIALES (CENTRO DE RECONOCIMIENTO) ;PABLOS CORRAL , CELIA;PRIVADOS
CENTRO DE RECONOCIMIENTO EL HENAR;40-C2510-0002;CL. LAS PARRAS 3  ;40,200;CUELLAR;SEGOVIA;921,142,487;921,142,487;ESPECIALIZADOS: CENTROS DE RECONOCIMIENTO;OTRAS UNIDADES ASISTENCIALES (CENTRO DE RECONOCIMIENTO) ;CENTRO OPTICO EL HENAR SL;PRIVADOS
CENTRO DE TERAPIAS NATURALES;34-C22-0054;CL. MAYOR ANTIGUA 51  ;34,005;PALENCIA;PALENCIA;979,170,280;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;RUBIO CADIERNO , DOMINGO;PRIVADOS
CENTRO ESPECIALIZADO EN FISIOTERAPIA (C.E.F);37-C22-0044;AV. ENRIQUE DE SENA, 7  ;37,900;SANTA MARTA DE TORMES;SALAMANCA;923,133,101;923,133,101;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;SANCHEZ PEREZ , ESPERANZA;PRIVADOS
CENTRO FISIOTERAPIA R. BLANCO;24-C22-0167;AV. MARQUESES DE SAN ISIDRO 15  ;24,004;LEON;LEON;606,397,352;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;BLANCO CASADO , ROBERTO ;PRIVADOS
CENTRO WELLNESS FISIOFUSSION;37-C22-0376;CL. GRILLO, 2  ;37,001;SALAMANCA;SALAMANCA;923,989,714;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;CAMPOS SANCHEZ , J. IGNACIO;PRIVADOS
CENTRODIANA;09-C22-0225;AV. CASTILLA Y LEON 54  ;9,006;BURGOS;BURGOS;658,776,995;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;APARICIO HERNANDEZ , DIANA;PRIVADOS
CLINICA BARRIENTOS;24-C22-0115;CL. RIO SELMO 10  ;24,402;PONFERRADA;LEON;987,097,791;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;BARRIENTOS GALLEGO , M JOSE;PRIVADOS
CLINICA DE FISIOTERAPIA CONMUEVE;05-C22-0117;CL. HORNOS CALEROS 16  ;5,003;AVILA;AVILA;680,268,718;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;REDONDO DEL POZO , MARIA;PRIVADOS
CLINICA DE FISIOTERAPIA DANIEL CADIERNO;24-C22-0271;CL. FRAY SANTIAGO FRANCO 7  ;24,240;SANTA MARIA DEL PARAMO;LEON;633,561,428;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;CADIERNO DIEZ , DANIEL;PRIVADOS
CLINICA DE FISIOTERAPIA F. VALDUEZA;24-C22-0334;CL. LOPEZ PELAEZ 5  ;24,700;ASTORGA;LEON;987,615,643;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;VALDUEZA SANDIN , FRANCISCO MIGUEL;PRIVADOS
CLINICA DE FISIOTERAPIA FISIOCRIS;49-C22-0043;CL. CONDES DE ALBA Y ALISTE 3  ;49,007;ZAMORA;ZAMORA;980,700,222;980,700,222;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;PEREZ FERNANDEZ , CRISTINA;PRIVADOS
CLINICA DE FISIOTERAPIA FISIOKIN;49-C22-0144;CL. CORTINAS DE SAN MIGUEL 6  A;49,015;ZAMORA;ZAMORA;659,169,992;980,557,093;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;H VIAN , BARBARA FRANCOISE;PRIVADOS
CLINICA DE FISIOTERAPIA FISIONAVA;24-C22-0097;CL. MIGUEL DE UNAMUNO 4  ;24,193;NAVATEJERA;LEON;606,932,972;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;FISIONAVA C.B.;PRIVADOS
CLINICA DE FISIOTERAPIA FISIORAMA;24-C22-0108;CL. ALAMEDA FINCA 3 LOCAL 1.2   ;24,007;LEON;LEON;619,033,547;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;FISIORAMA S.L;PRIVADOS
CLINICA DE FISIOTERAPIA RIOS DE VIDA;47-C22-0055;CL. LAGUNA  38  ;47,193;CISTERNIGA;VALLADOLID;696,466,935;983,401,794;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;RIOS BOYANO , NOELIA;PRIVADOS
CLINICA DE FISIOTERAPIA SANDRA GARCIA ALVAREZ;34-C22-0122;CL. BLAS DE OTERO 1  ;34,004;PALENCIA;PALENCIA;647,614,374;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;GARCIA ALVAREZ , SANDRA;PRIVADOS
CLINICA DE FISIOTERAPIA VERONICA URBANO;49-C22-0149;CL. CARRETERA 14  ;49,332;CAMARZANA DE TERA;ZAMORA;690,276,771;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;URBANO CHIARAVIGLIO , VERONICA;PRIVADOS
CLINICA FISIOTERAPIA AXIS;24-C22-0105;CL. VELAZQUEZ 5  ;24,005;LEON;LEON;637,448,950;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;DIEZ DEL RIO , OMAR;PRIVADOS
CLINICA PRINCIPIUM FISIOTERAPIA;42-C22-0103;AV. MARIANO VICEN 4 -BAJO   ;42,003;SORIA;SORIA;975,215,019;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;HERNANDEZ LAZARO , SILVIA;PRIVADOS
CLINICA REYES LEONESES;24-C22-0340;AV. REYES LEONESES 19  ;24,008;LEON;LEON;0;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;FERNANDEZ GEIJO , DANIEL;PRIVADOS
CLINICA SAMADE;49-C2590-0014;PZ. SAN LAZARO 7  ;49,005;ZAMORA;ZAMORA;980,522,284;980,522,284;OTROS CENTROS ESPECIALIZADOS;FISIOTERAPIA;CLINICA SAMADE C.B.;PRIVADOS
CLINICAS VALENCIAGA;40-C22-0135;PS. CONDE SEPULVEDA 37  ;40,006;SEGOVIA;SEGOVIA;659,920,451;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;FERNANDEZ LOPEZ , CARLOS;PRIVADOS
CON TACTO CENTRO DE FISIOTERAPIA;42-C22-0090;PG. IND. LAS CASAS  VIVERO DE EMPRESAS DESPACHO 4 C/J   ;42,005;SORIA;SORIA;644,324,320;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;ESTERAS MARTINEZ , LAURA;PRIVADOS
CONDUCTORES-CAZADORES AVDA. DEL CID;09-C2510-0009;AV. DEL CID 16 D I;9,005;BURGOS;BURGOS;947,263,989;947,263,989;ESPECIALIZADOS: CENTROS DE RECONOCIMIENTO;OTRAS UNIDADES ASISTENCIALES;VILLANUEVA FRIGOLA Y DOS MAS, S.C.;PRIVADOS
CONSULTA DE FISIOTERAPIA ANA CELIA ORTIZ PASTOR;09-C22-0055;CL. SAN JUAN 9  A;9,003;BURGOS;BURGOS;947,273,811;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;ORTIZ PASTOR , ANA CELIA;PRIVADOS
CONSULTA DE FISIOTERAPIA CRISTINA VIDAL;24-C22-0130;CL. REAL 79  F;24,195;VILLAOBISPO DE LAS REGUERAS;LEON;987,308,915;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;VIDAL APARICIO , CRISTINA;PRIVADOS
CONSULTA DE FISIOTERAPIA DE D. CARLOS VALLE PABLOS;09-C22-0048;CL. SAN PEDRO Y SAN FELICES 19  ;9,001;BURGOS;BURGOS;647,507,075;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;VALLE PABLOS , CARLOS;PRIVADOS
CONSULTA DE FISIOTERAPIA DE D. DAVID HERRERO MALDONADO;37-C22-0226;CL. CORRALES DE MONROY, 35, BAJO  (KIODAI)   ;37,001;SALAMANCA;SALAMANCA;923,215,984;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;HERRERO MALDONADO , DAVID;PRIVADOS
CONSULTA DE FISIOTERAPIA DE D. IGNACIO BRAVO RIZO;47-C22-0316;PS. HOSPITAL MILITAR 31  D;47,007;VALLADOLID;VALLADOLID;696,198,884;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;BRAVO RIZO , IGNACIO;PRIVADOS
CONSULTA DE FISIOTERAPIA DE D. MAXIMINO ENCINAR BAJO;05-C22-0023;AV. DE PORTUGAL 25  ;5,001;AVILA;AVILA;920,251,085;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;ENCINAR BAJO , MAXIMINO;PRIVADOS
CONSULTA DE FISIOTERAPIA FISIOMAR;24-C22-0124;CL. CARMEN 6  ;24,001;LEON;LEON;987,240,281;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;BARRIO ROBLES , MARCOS;PRIVADOS
CONSULTA DE FISIOTERAPIA MARTA SENDINO;09-C22-0226;CL. GUARDIA CIVIL   (CENTRO EQILIBRIO) 5  ;9,004;BURGOS;BURGOS;633,742,264;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;SENDINO ECHEANDIA , MARTA;PRIVADOS
CENTRO DE FISIOTERAPIA EME;47-C22-0066;CL. PADRE BAÑEZ (LOCAL 3) 1;47,400;MEDINA DEL CAMPO;VALLADOLID;635,010,234;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;PEREZ RODRIGUEZ , EMETERIO;PRIVADOS
CLINICA DE FISIOTERAPIA LUMEN;37-C22-0158;CL. SAN PATRICIO, 2  L;37,002;SALAMANCA;SALAMANCA;923,219,508;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;IBAÑEZ VALLEJO , IGNACIO JOSE;PRIVADOS
CONSULTORIO LOCAL DE VALTUEÑA;42-C232-0295;CL. LA PLAZA;42,221;VALTUEÑA;SORIA;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE MONTEAGUDO DE LAS VICARIAS;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
CONSULTORIO DE ATENCION PRIMARIA DE CARDEÑUELA-RIOPICO;09-C232-0083;CR. VILLALVAL, S/N;9,192;CARDEÑUELA-RIOPICO;BURGOS;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE CARDEÑUELA RIOPICO;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
CONSULTORIO DE ATENCION PRIMARIA DE SOPEÑANO;09-C232-0279;CL. MAYOR;9,589;SOPEÑANO;BURGOS;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE VALLE DE MENA;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
CLINICA DENTAL ENRIQUE MARTIN ALONSO;40-C251-0105;CL. LOPE DE VEGA 5;40,216;CHAÑE;SEGOVIA;921,155,297;921,155,297;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;MARTIN ALONSO , ENRIQUE;PRIVADOS
INSTITUTO DE CIRUGIA PLASTICA Y DE LA MANO;47-C21-0375;PS. ISABEL LA CATOLICA 6-BAJO (INST CLIN DERMAT SANCHEZ MIRALLES NUÑEZ ASOC);47,001;VALLADOLID;VALLADOLID;983,379,061;0;CONSULTAS MEDICAS;CIRUGIA PLASTICA Y REPARADORA#QUEMADOS;ALONSO-TERAN-TRILLO CIRUGIA PLASTICA S.L.;PRIVADOS
CONSULTORIO DE ATENCION PRIMARIA DE VILLAVERDE DE GUAREÑA;37-C232-0121;PZ. MAYOR 0;37,428;VILLAVERDE DE GUAREÑA;SALAMANCA;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE VILLAVERDE DE GUAREÑA;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
OPTICA VISION MASH;37-E-0029;CL. EL CARMEN  38;37,300;PEÑARANDA DE BRACAMONTE;SALAMANCA;923,540,138;923,540,138;ESTABLECIMIENTOS SANITARIOS (OPTICAS, ORTOPEDIAS, AUDIOPROTESIS);ESTABLECIMIENTO DE AUDIOPROTESIS#ESTABLECIMIENTO DE OPTICA;MASHOPTICA S.L.;PRIVADOS
GENERAL OPTICA;24-E-0069;AV. DE ESPAÑA 12;24,400;PONFERRADA;LEON;987,425,707;987,423,785;ESTABLECIMIENTOS SANITARIOS (OPTICAS, ORTOPEDIAS, AUDIOPROTESIS);ESTABLECIMIENTO DE AUDIOPROTESIS#ESTABLECIMIENTO DE OPTICA;GENERAL OPTICA S.A.;PRIVADOS
CENTRO DE SALUD DE NAVA DE LA ASUNCION;40-C231-0007;PZ. DEL CAÑO 1;40,450;NAVA DE LA ASUNCION;SEGOVIA;921,580,774;921,580,960;CENTROS DE ATENCION PRIMARIA: CENTROS DE SALUD;ATENCION SANITARIA DOMICILIARIA#CIRUGIA MENOR AMBULATORIA#ENFERMERIA#ENFERMERIA OBSTETRICO - GINECOLOGICA (MATRONA)#EXTRACCION DE SANGRE PARA DONACION#FISIOTERAPIA#LOGOPEDIA#MEDICINA GENERAL /  DE FAMILIA#OBTENCION DE MUESTRAS#PEDIATRIA#PLANIFICACION FAMILIAR#TRANSPORTE SANITARIO #URGENCIAS#VACUNACION;COMUNIDAD DE CASTILLA Y LEON;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
CONSULTORIO DE ATENCION PRIMARIA DE MAZUELO DE MUÑO;09-C232-0236;CL. LAS ESCUELAS, S/N;9,239;MAZUELO DE MUÑO;BURGOS;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE ESTEPAR;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
CONSULTORIO DE ATENCION PRIMARIA DE PEÑALBA DE AVILA;05-C232-0220;CL. BERLANAS, S/N;5,161;PEÑALBA DE AVILA;AVILA;920,260,336;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE PEÑALBA DE AVILA;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
